	mean_difference	disparate_impact	Opt_Acc	Priv_Acc	Unpriv_Acc	Priv_True_pos	Priv_False_pos	Unpriv_True_pos	Unpriv_False_pos
0	-0.038321167883211715	0.9431920649233543	0.05680793507664572	0.6085766423357665	0.6478102189781022	0.5693430656934306	0.8223844282238443	0.5267639902676399	0.7055961070559611
1	-0.06021897810218978	0.5822784810126582	0.4177215189873418	0.5428832116788321	0.5407542579075426	0.5450121654501217	0.18491484184914841	0.10340632603406326	0.12895377128953772
2	-0.02798053527980536	0.7722772277227722	0.22772277227722781	0.5565693430656934	0.572992700729927	0.5401459854014599	0.19586374695863748	0.049878345498783457	0.13503649635036497
3	-0.03649635036496346	0.945897204688909	0.05410279531109097	0.6021897810218978	0.6478102189781022	0.5565693430656934	0.8223844282238443	0.5267639902676399	0.694647201946472
4	-0.05596107055961069	0.6134453781512605	0.38655462184873945	0.5456204379562044	0.5413625304136253	0.5498783454987834	0.18613138686131386	0.10340632603406326	0.1386861313868613
5	-0.02250608272506084	0.820388349514563	0.17961165048543704	0.5599148418491484	0.5754257907542579	0.5444038929440389	0.20072992700729927	0.049878345498783457	0.14720194647201945
6	-0.04014598540145975	0.9408602150537636	0.059139784946236396	0.6125304136253041	0.6520681265206812	0.572992700729927	0.8309002433090025	0.5267639902676399	0.7116788321167883
7	-0.05413625304136252	0.6244725738396625	0.3755274261603375	0.5477493917274939	0.5407542579075426	0.5547445255474452	0.18491484184914841	0.10340632603406326	0.14476885644768855
8	-0.019464720194647206	0.8423645320197044	0.1576354679802956	0.5602189781021898	0.5736009732360098	0.5468369829683698	0.19708029197080293	0.049878345498783457	0.15085158150851583
9	-0.041362530413625254	0.939068100358423	0.06093189964157697	0.6131386861313869	0.6520681265206812	0.5742092457420924	0.8309002433090025	0.5267639902676399	0.7116788321167883
10	-0.04440389294403892	0.6919831223628693	0.3080168776371307	0.5513990267639902	0.5407542579075426	0.5620437956204379	0.18491484184914841	0.10340632603406326	0.16180048661800486
11	-0.027372262773722636	0.7857142857142857	0.2142857142857143	0.565389294403893	0.5778588807785888	0.5529197080291971	0.20559610705596107	0.049878345498783457	0.15328467153284672
12	-0.045012165450121655	0.933572710951526	0.06642728904847395	0.610705596107056	0.6508515815085159	0.5705596107055961	0.8284671532846716	0.5267639902676399	0.7031630170316302
13	-0.04014598540145985	0.7066666666666667	0.29333333333333333	0.5456204379562044	0.5334549878345499	0.5577858880778589	0.170316301703163	0.10340632603406326	0.15450121654501217
14	-0.009124087591240879	0.9261083743842364	0.07389162561576357	0.5659975669099757	0.5736009732360098	0.5583941605839416	0.19708029197080293	0.049878345498783457	0.17274939172749393
15	-0.015206812652068136	0.9773755656108597	0.022624434389140302	0.6079683698296837	0.6453771289537713	0.5705596107055961	0.8175182481751825	0.5267639902676399	0.7274939172749392
16	-0.0389294403892944	0.7192982456140351	0.2807017543859649	0.5444038929440389	0.5352798053527981	0.5535279805352799	0.17396593673965938	0.10340632603406326	0.15328467153284672
17	-0.010340632603406327	0.915	0.08499999999999996	0.5617396593673966	0.5717761557177615	0.5517031630170316	0.19343065693430658	0.049878345498783457	0.1630170316301703
18	-0.04744525547445255	0.9305431878895815	0.06945681211041854	0.6064476885644768	0.6563260340632603	0.5565693430656934	0.8394160583941606	0.5267639902676399	0.6922141119221411
19	-0.04562043795620438	0.6636771300448431	0.3363228699551569	0.5392335766423357	0.5322384428223844	0.5462287104622872	0.1678832116788321	0.10340632603406326	0.1362530413625304
