	mean_difference	disparate_impact	Opt Acc	Priv Acc	Unpriv Acc
0	-0.18126520681265207	0.6265664160401002	0.628345498783455	0.6313868613138686	0.6253041362530414
1	-0.2025547445255474	0.6961678832116789	0.629257907542579	0.6119221411192214	0.6465936739659367
2	-0.21654501216545008	0.645771144278607	0.6368613138686131	0.6222627737226277	0.6514598540145985
3	-0.20498783454987834	0.5808457711442786	0.6280413625304136	0.635036496350365	0.6210462287104623
4	-0.20377128953771284	0.6965579710144928	0.629257907542579	0.6167883211678832	0.6417274939172749
5	-0.23783454987834546	0.6143984220907298	0.6365571776155717	0.6277372262773723	0.6453771289537713
6	-0.2086374695863747	0.5674653215636822	0.6231751824817519	0.628345498783455	0.6180048661800487
7	-0.20681265206812655	0.6903460837887067	0.6253041362530414	0.6131386861313869	0.6374695863746959
8	-0.2378345498783455	0.6117179741807348	0.6304744525547445	0.6234793187347932	0.6374695863746959
9	-0.19768856447688565	0.5896464646464646	0.620742092457421	0.6277372262773723	0.6137469586374696
10	-0.22445255474452558	0.6690582959641256	0.6322992700729927	0.6234793187347932	0.6411192214111923
11	-0.23236009732360097	0.6232741617357002	0.6374695863746959	0.6277372262773723	0.6472019464720195
12	-0.17579075425790758	0.63510101010101	0.6256082725060828	0.6277372262773723	0.6234793187347932
13	-0.2019464720194647	0.6970802919708029	0.6319951338199513	0.6119221411192214	0.6520681265206812
14	-0.21472019464720193	0.6466466466466466	0.6377737226277372	0.6186131386861314	0.656934306569343
15	-0.1982968369829684	0.5924999999999999	0.614963503649635	0.6326034063260341	0.597323600973236
16	-0.21350364963503654	0.6817769718948322	0.620742092457421	0.6161800486618005	0.6253041362530414
17	-0.23479318734793192	0.6185770750988142	0.6253041362530414	0.6265206812652068	0.6240875912408759
18	-0.1970802919708029	0.5955056179775281	0.6307785888077859	0.6332116788321168	0.628345498783455
19	-0.1970802919708029	0.7054545454545454	0.6332116788321168	0.6143552311435523	0.6520681265206812
20	-0.22506082725060828	0.6311066799601196	0.6362530413625304	0.6210462287104623	0.6514598540145985
21	-0.18430656934306566	0.6198243412797994	0.6268248175182481	0.6307785888077859	0.6228710462287105
22	-0.1952554744525548	0.7089755213055303	0.6304744525547445	0.6161800486618005	0.6447688564476886
23	-0.21411192214111924	0.6504468718967229	0.6380778588807786	0.6234793187347932	0.652676399026764
24	-0.20802919708029194	0.5730337078651686	0.6326034063260341	0.6332116788321168	0.6319951338199513
25	-0.22506082725060828	0.6675651392632524	0.6399026763990268	0.6222627737226277	0.6575425790754258
26	-0.2524330900243309	0.5911330049261084	0.6420316301703163	0.628345498783455	0.6557177615571776
